cid,firstname,lastname,wins,losses
KARLGE01  ,George,Karl,879,614
KarlGe01  ,George,Karl,107,57
KAUFFBO01 ,Bob,Kauffman,29,29
KERRJO01  ,John,Kerr,93,190
KLOPPBO01 ,Bob,Kloppenburg,3,9
KRUGELO01 ,Lon,Kruger,69,122
KrystLa01 ,Larry,Krystkowiak,31,69
KuestJo01 ,John,Kuester,27,55
KUNDLJO01 ,John,Kundla,423,302
LANIEBO01 ,Bob,Lanier,12,25
LAPCHJO01 ,Joe,Lapchick,326,247
LAYDEFR01 ,Frank,Layden,277,294
LEEGE01   ,George,Lee,63,71
LEONABO01 ,Bob,Leonard,186,264
LEVANAN01 ,Andrew,Levane,106,170
LEWISGR01 ,Grady,Lewis,55,73
LITTLGE01 ,Gene,Littles,44,111
LLOYDEA01 ,Earl,Lloyd,22,55
LOCKETA01 ,Tates,Locke,6,30
LOEFFKE01 ,Ken,Loeffler,79,90
LOGANJO01 ,John,Logan,2,1
LOUGHKE01 ,Kevin,Loughery,474,662
LOWESI01  ,Sidney,Lowe,79,228
LUCASJO01 ,John,Lucas,174,258
LYNAMJI01 ,Jim,Lynam,328,392
MACAUED01 ,Ed,Macauley,89,48
MACKIBO01 ,Bob,MacKinnon,25,68
MACLEJO01 ,John,MacLeod,707,657
MALONBR01 ,Brendan,Malone,29,71
MARSHTO01 ,Tom,Marshall,35,94
MARTISL01 ,Slater,Martin,5,3
MCCARJO01 ,John,McCarthy,22,59
MCCLOJA01 ,Jack,McCloskey,48,116
MCGUIDI01 ,Dick,McGuire,197,260
MCGUIFR01 ,Frank,McGuire,49,31
MCHALKE01 ,Kevin,McHale,39,55
MCHONMO01 ,Morris,McHone,11,20
MCKINHO01 ,Horace,McKinney,10,25
MCKINJA01 ,Jack,McKinney,136,215
MCMAHJA01 ,Jack,McMahon,260,289
MCMILDA01 ,Dave,McMillan,9,14
MCMILNA01 ,Nate,McMillan,410,395
MENDEMU01 ,Murray,Mendenhall,72,64
MIKANGE01 ,George,Mikan,9,30
MITCHSA01 ,Sam,Mitchell,156,189
MOEDO01   ,Doug,Moe,628,529
MontgMi01 ,Mike,Montgomery,68,96
MOOREDO01 ,Doxie,Moore,32,60
MORRIRO01 ,Robert,Morris,28,32
MOTTADI01 ,Dick,Motta,935,1017
MULLAJO01 ,Joe,Mullaney,105,88
MUSSEBI01 ,Bill,Musselman,78,180
MUSSEER01 ,Eric,Musselman,108,138
MYERSPE01 ,Pete,Myers,0,3
NattKe01  ,Kenny,Natt,11,47
NelsoDo01 ,Don,Nelson,1335,1063
NEWELTO01 ,Tom,Newell,0,1
NISSATO01 ,Tom,Nissalke,248,391
OBRIEJI01 ,Jim,O'Brien,286,290
ONEILKE01 ,Kevin,O'Neill,33,49
OLSENHA01 ,Harold,Olsen,95,63
PETTIBO01 ,Bob,Pettit,4,2
