pid,year,team,leag,ppg,rpg,apg
MARTIDO02,1946,PRO,N,12.21666667,0,0.983333333

MAUGHAR01,1946,DE1,N,9.016949153,0,0.966101695

MCCARHO01,1946,DE1,N,1.105263158,0,0.105263158

MCCARMI01,1946,TOR,N,10.81666667,0,0.983333333

MCKINHO01,1946,WSC,N,11.98275862,0,1.189655172

MEARNGE01,1946,PRO,N,6.701754386,0,0.614035088

MELVIED01,1946,PIT,N,4.929824561,0,0.649122807

MIASEST01,1946,DE1,N,14.91666667,0,1.55

MIHALZI01,1946,PIT,N,0,0,0

MILITNA01,1946,TOT,N,4.280701754,0,0.736842105

MILITNA01,1946,TO1,N,4.761904762,0,0.666666667

MILITNA01,1946,NYK,N,4,0,0.777777778

MILLEHA01,1946,TOR,N,2.867924528,0,0.79245283

MILLEWA01,1946,PIT,N,1.916666667,0,0.5

MILLSJO01,1946,PIT,N,3.85106383,0,0.191489362

MOGUSLE01,1946,CL1,N,12.29411765,0,1.647058824

MOGUSLE01,1946,TO1,N,13.26829268,0,1.365853659

MOGUSLE01,1946,TOT,N,12.98275862,0,1.448275862

MORGEEL01,1946,PRO,N,1.363636364,0,0.272727273

MULLEBO01,1946,NYK,N,2.923076923,0,0.692307692

MULLEBO01,1946,TOT,N,5.814814815,0,1

MULLEBO01,1946,TO1,N,8.5,0,1.285714286

MUNROGE01,1946,ST1,N,7.016949153,0,0.288135593

MURPHDI01,1946,BOS,N,0,0,0.428571429

MURPHDI01,1946,NYK,N,1.333333333,0,0.208333333

MURPHDI01,1946,TOT,N,1.096774194,0,0.258064516

MURPHJO01,1946,TOT,N,1.6,0,0

MURPHJO01,1946,PH1,N,0,0,0

MURPHJO01,1946,NYK,N,2.666666667,0,0

MUSIAN01,1946,PH1,N,9.366666667,0,0.433333333

NEGRAAL01,1946,WSC,N,2.818181818,0,0.454545455

NORLAJO01,1946,WSC,N,10.43333333,0,0.833333333

NOSTRGE01,1946,TO1,N,8.923076923,0,0.769230769

NOSTRGE01,1946,CL1,N,7.625,0,0.4375

NOSTRGE01,1946,TOT,N,7.901639344,0,0.508196721

NOSZKST01,1946,PIT,N,8.74137931,0,0.672413793

OGRAFR01,1946,WSC,N,2.690909091,0,0.363636364

OSHIGA01,1946,CH1,N,0,0,0.111111111

PALMEJO01,1946,NYK,N,9.547619048,0,0.80952381

PARRADO01,1946,CH1,N,4.689655172,0,0.344827586

PASSAMA01,1946,WSC,N,2.790697674,0,0.209302326

PASTUGE01,1946,PRO,N,3.102564103,0,0.384615385

PEARCGE01,1946,DE1,N,2.540540541,0,0.351351351

PEARCHE01,1946,DE1,N,2.517241379,0,0.24137931

PUTMADO01,1946,ST1,N,6.551724138,0,0.517241379

RENSBRO01,1946,CH1,N,0,0,0

RIEBEME01,1946,CL1,N,12.05454545,0,1.218181818

ROSENAL01,1946,PH1,N,2.941176471,0,0.529411765

ROSENHA01,1946,TOT,N,6.366666667,0,0.6

ROSENHA01,1946,NYK,N,4.290322581,0,0.612903226

ROSENHA01,1946,PRO,N,8.586206897,0,0.586206897

ROTHEIR01,1946,CL1,N,3.517241379,0,0.517241379

ROTTNMI01,1946,CH1,N,7.553571429,0,1.660714286

ROUXGI01,1946,ST1,N,5.9,0,0.283333333

RULLOJE01,1946,PH1,N,2.54,0,0.4

SADOWED01,1946,TO1,N,19.1,0,0.8

SADOWED01,1946,CL1,N,15.95348837,0,0.88372093

SADOWED01,1946,TOT,N,16.54716981,0,0.867924528

SAILOKE01,1946,CL1,N,9.948275862,0,2.310344828

SCHARBE01,1946,CL1,N,2.019607843,0,0.37254902

SCHECOS01,1946,NYK,N,8.055555556,0,2.018518519

SCHOOMI01,1946,DE1,N,2.926829268,0,0.292682927

SCHULDI01,1946,TOT,N,6.210526316,0,0.98245614

SCHULDI01,1946,TO1,N,6.048780488,0,0.951219512

SCHULDI01,1946,CL1,N,6.625,0,1.0625

SCOLAFR01,1946,WSC,N,12.55172414,0,1

SEMINJI01,1946,CH1,N,7.316666667,0,1.05

SENESGE01,1946,PH1,N,6.310344828,0,0.586206897

SHABANI01,1946,CL1,N,4.566037736,0,0.547169811

SHANNEA01,1946,PRO,N,12.05263158,0,1.473684211

SHEABO01,1946,PRO,N,2.162790698,0,0.139534884

SHEFFFR01,1946,PH1,N,3.363636364,0,0.181818182

SIEWERA01,1946,SL1,N,0,0,0

SIEWERA01,1946,TO1,N,1.142857143,0,0.285714286

