pid,year,team,leag,ppg,rpg,apg
MARTIDO01,1948,TOT,N,3.045454545,0,0.568181818

MARTIDO01,1948,SL1,N,3.486486486,0,0.567567568

MAUGHAR01,1948,ST1,N,10.83636364,0,1.8

MCGAHME01,1948,NYK,N,3.450980392,0,1

MCKINHO01,1948,WSC,N,12.68421053,0,2

MEINHCA01,1948,CH1,N,2.733333333,0,0.6

MEINHCA01,1948,PRO,N,6.342857143,0,1.085714286

MEINHCA01,1948,TOT,N,5.26,0,0.94

MIASEST01,1948,CH1,N,7.775862069,0,0.982758621

MIKANED01,1948,CH1,N,9.9,0,1.033333333

MIKANGE01,1948,MIE,N,28.3,0,3.633333333

MILLEBI01,1948,CH1,N,0,0,0.571428571

MILLEBI01,1948,TOT,N,1.892857143,0,0.714285714

MILLEBI01,1948,SL1,N,2.785714286,0,0.857142857

