year,team,leag,won,lost,finish
2008,NOH,N,49,33,10
2008,DAL,N,50,32,9
2008,HOU,N,53,29,8
2008,DEN,N,54,28,7
2008,POR,N,54,28,6
2008,SAS,N,54,28,5
2008,ORL,N,59,23,4
2008,BOS,N,62,20,3
2008,LAL,N,65,17,2
2008,CLE,N,66,16,1
2009,NJN,N,12,70,30
2009,MIN,N,15,67,29
2009,SAC,N,25,57,28
2009,GSW,N,26,56,27
2009,WAS,N,26,56,26
2009,DET,N,27,55,25
2009,PHI,N,27,55,24
2009,LAC,N,29,53,23
2009,NYK,N,29,53,22
2009,IND,N,32,50,21
2009,NOH,N,37,45,20
2009,MEM,N,40,42,19
2009,TOR,N,40,42,18
2009,CHI,N,41,41,17
2009,HOU,N,42,40,16
2009,CHR,N,44,38,15
2009,MIL,N,46,36,14
2009,MIA,N,47,35,13
2009,BOS,N,50,32,12
2009,OKC,N,50,32,11
2009,POR,N,50,32,10
2009,SAS,N,50,32,9
2009,ATL,N,53,29,8
2009,DEN,N,53,29,7
2009,UTA,N,53,29,6
2009,PHO,N,54,28,5
2009,DAL,N,55,27,4
2009,LAL,N,57,25,3
2009,ORL,N,59,23,2
2009,CLE,N,61,21,1
